Time,Country Name,"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]",GDP (current US$) [NY.GDP.MKTP.CD]
2020,European Union,7.054818712,1.53694E+13
2020,Fragile and conflict affected situations,6.859123914,1.68089E+12
2020,Heavily indebted poor countries (HIPC),5.453946803,8.03236E+11
2020,High income,6.506147416,5.38746E+13
2020,IBRD only,7.388346086,3.0069E+13
2020,IDA & IBRD total,6.998207169,3.24044E+13
2020,IDA blend,6.202936641,1.00207E+12
2020,IDA only,5.456724157,1.33638E+12
2020,IDA total,5.690536321,2.33505E+12
2020,Late-demographic dividend,5.925592476,2.24934E+13
2020,Latin America & Caribbean,10.20078462,4.74237E+12
2020,Latin America & Caribbean (excluding high income),10.26266379,3.99765E+12
2020,Latin America & the Caribbean (IDA & IBRD countries),10.35544916,4.49446E+12
2020,Least developed countries: UN classification,5.60959352,1.17658E+12
2020,Low & middle income,6.984295673,3.09484E+13
2020,Low income,5.777256777,5.0874E+11
2020,Lower middle income,7.398931527,7.61724E+12
2020,Middle East & North Africa,10.03072832,3.1157E+12
2020,Middle East & North Africa (excluding high income),11.42194558,1.27409E+12
2020,Middle East & North Africa (IDA & IBRD countries),11.27290046,1.25855E+12
2020,Middle income,7.096334404,3.04686E+13
2020,North America,8.205203504,2.27128E+13
2020,Not classified,..,..
2020,OECD members,7.102086134,5.25171E+13
2020,Other small states,10.15142872,3.78315E+11
2020,Pacific island small states,3.285646386,9515995237
2020,Post-demographic dividend,6.702774337,4.96978E+13
2020,Pre-demographic dividend,6.121677103,1.31635E+12
2020,Small states,9.475540788,4.53728E+11
2020,South Asia,9.253800925,3.48701E+12
2020,South Asia (IDA & IBRD),9.253800925,3.48701E+12
2020,Sub-Saharan Africa,6.627844302,1.71901E+12
2020,Sub-Saharan Africa (excluding high income),6.627844302,1.71775E+12
2020,Sub-Saharan Africa (IDA & IBRD countries),6.627844302,1.71901E+12
2020,Upper middle income,6.786562111,2.28514E+13
2020,World,6.898264957,8.51163E+13
2021,Afghanistan,..,14786861638
2021,Albania,12.68299961,18255787479
2021,Algeria,11.74699974,1.63044E+11
2021,American Samoa,..,709000000
2021,Andorra,..,3330281524
2021,Angola,10.38399982,67404287260
2021,Antigua and Barbuda,..,1471125926
2021,Argentina,8.739999771,4.87227E+11
2021,Armenia,12.72900009,13861409969
2021,Aruba,..,3126019399
2021,Australia,5.119999886,1.55267E+12
2021,Austria,6.179999828,4.80368E+11
2021,Azerbaijan,5.949999809,54622176471
2021,"Bahamas, The",11.66499996,11208600000
2021,Bahrain,1.531999946,38868663032
2021,Bangladesh,5.097000122,4.16265E+11
2021,Barbados,9.581999779,4843800000
2021,Belarus,3.900000095,68205380707
2021,Belgium,6.260000229,5.94104E+11
2021,Belize,10.28999996,2491500000
2021,Benin,1.751999974,17144918952
2021,Bermuda,..,7286607000
2021,Bhutan,3.907999992,2539552985
2021,Bolivia,5.090000153,40408208528
2021,Bosnia and Herzegovina,14.89999962,23365361635
2021,Botswana,21.15500069,17614791266
2021,Brazil,13.34000015,1.60898E+12
2021,British Virgin Islands,..,..
2021,Brunei Darussalam,7.446000099,14006569576
2021,Bulgaria,5.269999981,84056312734
2021,Burkina Faso,5.231999874,19737615114
2021,Burundi,1.131999969,2779813489
2021,Cabo Verde,13.90999985,1936174043
2021,Cambodia,0.294999987,26961061120
2021,Cameroon,4.122000217,45338283345
2021,Canada,7.460000038,1.98834E+12
2021,Cayman Islands,..,5898449688
2021,Central African Republic,6.458000183,2516498299
2021,Chad,1.537999988,11779980802
2021,Channel Islands,7.552999973,..
2021,Chile,9.350000381,3.17059E+11
2021,China,4.550000191,1.77341E+13
2021,Colombia,13.89999962,3.14464E+11
2021,Comoros,8.979000092,1296089633
2021,"Congo, Dem. Rep.",5.111999989,55350968593
2021,"Congo, Rep.",22.23500061,13366230220
2021,Costa Rica,15.14000034,64282438667
2021,Cote d'Ivoire,2.816999912,70043191477
2021,Croatia,7.610000134,68955083280
2021,Cuba,1.47300005,..
2021,Curacao,..,2699612458
2021,Cyprus,7.460000038,28407867534
2021,Czechia,2.809999943,2.81778E+11
2021,Denmark,5.059999943,3.98303E+11
2021,Djibouti,27.95400047,3482987379
2021,Dominica,..,554181481.5
2021,Dominican Republic,7.699999809,94243453937
2021,Ecuador,4.5,1.06166E+11
2021,"Egypt, Arab Rep.",7.400000095,4.04143E+11
2021,El Salvador,4.349999905,28736940000
2021,Equatorial Guinea,9.147000313,12269392840
2021,Eritrea,6.802000046,..
2021,Estonia,6.179999828,37191166152
2021,Eswatini,24.55999947,4743335153
2021,Ethiopia,3.930000067,1.11271E+11
2021,Faroe Islands,..,3649886275
2021,Fiji,4.928999901,4296304590
2021,Finland,7.610000134,2.97302E+11
2021,France,7.860000134,2.95788E+12
2021,French Polynesia,13.26500034,6054676735
2021,Gabon,21.83600044,20216843174
2021,"Gambia, The",4.980999947,2038417462
2021,Georgia,12.20800018,18629365597
2021,Germany,3.569999933,4.25993E+12
2021,Ghana,3.91899991,77594279055
2021,Gibraltar,..,..
2021,Greece,14.71000004,2.14874E+11
2021,Greenland,..,..
2021,Grenada,..,1122807407
2021,Guam,6.25,6123000000
2021,Guatemala,2.941999912,85985752107
2021,Guinea,5.820000172,16091817842
2021,Guinea-Bissau,3.687000036,1638517533
2021,Guyana,14.90499973,8044498801
2021,Haiti,15.0170002,20944392615
2021,Honduras,7.947000027,28488668302
2021,"Hong Kong SAR, China",5.170000076,3.69176E+11
2021,Hungary,4.050000191,1.81848E+11
2021,Iceland,6.019999981,25602419210
2021,India,7.712999821,3.1763E+12
2021,Indonesia,3.829999924,1.18609E+12
2021,"Iran, Islamic Rep.",10.81799984,3.59713E+11
2021,Iraq,16.17000008,2.07889E+11
2021,Ireland,6.190000057,5.04183E+11
2021,Isle of Man,..,..
2021,Israel,4.318999767,4.88527E+11
2021,Italy,9.5,2.1077E+12
2021,Jamaica,6.011000156,14657586937
2021,Japan,2.799999952,4.94088E+12
2021,Jordan,18.44400024,45744271659
2021,Kazakhstan,5.162000179,1.97112E+11
2021,Kenya,5.644000053,1.10347E+11
2021,Kiribati,..,207031250
2021,"Korea, Dem. People's Rep.",3.213000059,..
2021,"Korea, Rep.",3.640000105,1.81096E+12
2021,Kosovo,..,9412034299
2021,Kuwait,2.818000078,..
